epoch,loss,masked_acc,val_loss,val_masked_acc
0,5.2748,0.2186,3.8011,0.3637
1,3.5535,0.3966,2.9157,0.4827
2,2.7498,0.5034,2.3506,0.5564
3,2.1899,0.5781,1.9327,0.619
4,1.7689,0.6415,1.6332,0.6687
5,1.4548,0.6931,1.4228,0.7052
6,1.2261,0.7329,1.2753,0.7319
7,1.0532,0.7646,1.1632,0.7537
8,0.9212,0.7904,1.0784,0.771
9,0.8168,0.811,1.0212,0.7825
10,0.7332,0.8282,0.9703,0.7937
11,0.664,0.8426,0.9421,0.7998
12,0.6073,0.8548,0.9062,0.8083
13,0.5573,0.866,0.8878,0.8135
14,0.5157,0.8749,0.8707,0.8184
15,0.4786,0.8833,0.8555,0.8226
16,0.4468,0.8904,0.8517,0.8243
17,0.4171,0.8972,0.8389,0.8292
18,0.3913,0.9031,0.8361,0.8315
19,0.3698,0.908,0.8322,0.8334
20,0.3472,0.9135,0.8329,0.8342
21,0.3284,0.9179,0.8322,0.8362
22,0.3108,0.9219,0.8318,0.8377
23,0.2948,0.9256,0.8289,0.839
24,0.2808,0.9291,0.8341,0.84
25,0.2674,0.932,0.8381,0.841
26,0.2539,0.9353,0.838,0.8424
27,0.2424,0.938,0.8393,0.8437
28,0.233,0.9403,0.8479,0.8432
29,0.2222,0.9428,0.8497,0.8449
